persona_id,first_name,age_group,race_ethnicity,gender,county,region,urban_suburban_rural,education,income_band,party_lean,ideology,past_vote_pattern,turnout_likelihood,top_issues,human_profile,persona_weight
P001,Linda,45-64,Black,Female,Wayne County,Detroit / Wayne,urban,Some college,Lower-middle,Strong Democrat,Liberal,Consistent Democratic voter,High,Abortion; Economy / cost of living; Social Security / Medicare,"Linda is a mid-career black female in Wayne County who works as a city bus mechanic. Linda works long shifts and follows politics unevenly and thinks most about abortion, economy / cost of living. Politically, Linda usually votes Democratic and sees national politics as personal to daily life, with a high likelihood of voting in a high-profile Senate race.",1.000000
P002,Karen,45-64,White non-Hispanic,Female,Oakland County,Detroit suburbs,suburban,College degree,Upper-middle,Independent / swing,Moderate,Suburban moderate,High,Environment / water; Economy / cost of living; Education,"Karen is a mid-career white non-hispanic female in Oakland County who works as a suburban school teacher. Karen owns a modest home and thinks most about environment / water, economy / cost of living. Politically, Karen does not like either party having too much power and has split tickets before, with a high likelihood of voting in a high-profile Senate race.",1.000000
P003,Michelle,18-29,White non-Hispanic,Female,Kent County,West Michigan,mixed,College degree,Lower-middle,Independent / swing,Moderate,Suburban moderate,Medium,Crime / public safety; Economy / cost of living; Education,"Michelle is a younger white non-hispanic female in Kent County who works as a resort operations coordinator. Michelle is paying off student loans and thinks most about crime / public safety, economy / cost of living. Politically, Michelle does not like either party having too much power and has split tickets before, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P004,Jessica,45-64,White non-Hispanic,Female,Wayne County,Detroit / Wayne,urban,Some college,Middle,Independent / swing,Moderate,Suburban moderate,High,Health care; Democracy / rule of law; Environment / water,"Jessica is a mid-career white non-hispanic female in Wayne County who works as a hospital billing coordinator. Jessica rents an apartment and is saving for a house and thinks most about health care, democracy / rule of law. Politically, Jessica does not like either party having too much power and has split tickets before, with a high likelihood of voting in a high-profile Senate race.",1.000000
P005,Lisa,65+,White non-Hispanic,Female,Macomb County,Detroit suburbs,suburban,Some college,Middle,Strong Republican,Very conservative,Consistent Republican voter,High,Education; Economy / cost of living; Democracy / rule of law,"Lisa is a older white non-hispanic female in Macomb County who works as a retired resort manager. Lisa is recently retired and thinks most about education, economy / cost of living. Politically, Lisa usually votes Republican and is skeptical of Democrats, especially on spending and cultural issues, with a high likelihood of voting in a high-profile Senate race.",1.000000
P006,Lisa,18-29,White non-Hispanic,Female,Monroe County,Rural / outstate,rural/small-town,High school or less,Lower-middle,Strong Republican,Conservative,Consistent Republican voter,Medium,Economy / cost of living; Crime / public safety; Health care,"Lisa is a younger white non-Hispanic female in Monroe County who works as a bookkeeper. Lisa rents an apartment and is saving for a house and thinks most about economy / cost of living, crime / public safety. Politically, Lisa usually votes Republican and is skeptical of Democrats, especially on spending and cultural issues, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P007,Jennifer,65+,White non-Hispanic,Female,Mecosta County,Rural / outstate,rural/small-town,College degree,Middle,Strong Republican,Very conservative,Consistent Republican voter,High,Foreign policy / Israel-Gaza; Crime / public safety; Economy / cost of living,"Jennifer is an older white non-Hispanic female in Mecosta County who works as a postal carrier. Jennifer is recently retired and thinks most about foreign policy / israel-gaza, crime / public safety. Politically, Jennifer usually votes Republican and is skeptical of Democrats, especially on spending and cultural issues, with a high likelihood of voting in a high-profile Senate race.",1.000000
P008,Michael,30-44,Black,Male,Lenawee County,Rural / outstate,rural/small-town,Some college,Lower-middle,Independent / swing,Moderate,Obama-Trump voter,Medium,Economy / cost of living; Environment / water; Crime / public safety,"Michael is a middle-aged black male in Lenawee County who works as a postal carrier. Michael coaches a local youth team and thinks most about economy / cost of living, environment / water. Politically, Michael does not like either party having too much power and has split tickets before, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P009,Tanya,45-64,Multiracial / other,Female,Ottawa County,West Michigan,mixed,College degree,Middle,Independent / swing,Moderate,Obama-Trump voter,High,Health care; Crime / public safety; Labor / unions,"Tanya is a mid-career multiracial / other female in Ottawa County who works as a restaurant owner. Tanya helps care for an elderly parent and thinks most about health care, crime / public safety. Politically, Tanya does not like either party having too much power and has split tickets before, with a high likelihood of voting in a high-profile Senate race.",1.000000
P010,Patricia,45-64,Multiracial / other,Female,Kent County,West Michigan,mixed,College degree,Middle,Lean Republican,Conservative,Usually Republican voter,Medium,Labor / unions; Crime / public safety; Immigration,"Patricia is a mid-career multiracial / other female in Kent County who works as a bookkeeper. Patricia owns a modest home and thinks most about labor / unions, crime / public safety. Politically, Patricia usually leans Republican but will consider a Democrat who seems focused on Michigan, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P011,David,30-44,White non-Hispanic,Male,Macomb County,Detroit suburbs,suburban,Some college,Middle,Independent / swing,Moderate,Suburban moderate,Medium,Social Security / Medicare; Labor / unions; Abortion,"David is a middle-aged white non-Hispanic male in Macomb County who works as a realtor. David has family split across both parties and thinks most about social security / medicare, labor / unions. Politically, David does not like either party having too much power and has split tickets before, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P012,Lisa,30-44,Black,Female,Wayne County,Detroit / Wayne,urban,Some college,Low,Strong Democrat,Progressive,Consistent Democratic voter,Medium,Crime / public safety; Health care; Immigration,"Lisa is a middle-aged black female in Wayne County who works as a small business owner. Lisa rents an apartment and is saving for a house and thinks most about crime / public safety, health care. Politically, Lisa usually votes Democratic and sees national politics as personal to daily life, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P013,Marcus,18-29,Black,Male,Saginaw County,Flint / Saginaw / Bay,mixed,Some college,Lower-middle,Independent / swing,Moderate,Low-propensity swing voter,Medium,Economy / cost of living; Labor / unions; Education,"Marcus is a younger black male in Saginaw County who works as a home health aide. Marcus is paying off student loans and thinks most about economy / cost of living, labor / unions. Politically, Marcus does not like either party having too much power and has split tickets before, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P014,Jennifer,30-44,White non-Hispanic,Female,Wayne County,Detroit / Wayne,urban,High school or less,Low,Lean Democrat,Liberal,Usually Democratic voter,Medium,Crime / public safety; Democracy / rule of law; Environment / water,"Jennifer is a middle-aged white non-Hispanic female in Wayne County who works as a hospital billing coordinator. Jennifer has family split across both parties and thinks most about crime / public safety, democracy / rule of law. Politically, Jennifer usually leans Democratic but wants candidates to sound practical and grounded, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P015,Mark,18-29,White non-Hispanic,Male,Macomb County,Detroit suburbs,suburban,Some college,Middle,Independent / swing,Moderate,Obama-Trump voter,Low,Environment / water; Economy / cost of living; Immigration,"Mark is a younger white non-Hispanic male in Macomb County who works as an insurance analyst. Mark works long shifts and follows politics unevenly and thinks most about environment / water, economy / cost of living. Politically, Mark does not like either party having too much power and has split tickets before, with a low likelihood of voting in a high-profile Senate race.",1.000000
P016,Michael,65+,White non-Hispanic,Male,Washtenaw County,Ann Arbor / Washtenaw,urban/suburban,High school or less,Upper-middle,Independent / swing,Moderate,Low-propensity swing voter,High,Social Security / Medicare; Health care; Foreign policy / Israel-Gaza,"Michael is an older white non-Hispanic male in Washtenaw County who works as a nurse practitioner. Michael helps care for a spouse and thinks most about social security / medicare, health care. Politically, Michael does not like either party having too much power and has split tickets before, with a high likelihood of voting in a high-profile Senate race.",1.000000
